Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Insight Engines,https://www.crunchbase.com/funding_round/insight-engines-inc-series-a--2c0b8d95,Insight Engines,https://www.crunchbase.com/organization/insight-engines-inc,Series A,15800000,USD,15800000,2017-07-20
Post-IPO Debt - Imprimis Pharmaceuticals,https://www.crunchbase.com/funding_round/imprimis-pharmaceuticals-post-ipo-debt--96c2626c,Imprimis Pharmaceuticals,https://www.crunchbase.com/organization/imprimis-pharmaceuticals,Post-IPO Debt,16000000,USD,16000000,2017-07-20
Seed Round - BenRevo,https://www.crunchbase.com/funding_round/benrevo-seed--60af9e26,BenRevo,https://www.crunchbase.com/organization/benrevo,Seed,1500000,USD,1500000,2017-07-21
Post-IPO Equity - Nuheara,https://www.crunchbase.com/funding_round/nuheara-post-ipo-equity--6d217d49,Nuheara,https://www.crunchbase.com/organization/nuheara,Post-IPO Equity,9000000,USD,9000000,2017-07-21
Venture Round - Eyes4Lives,https://www.crunchbase.com/funding_round/eyes4lives-series-unknown--78dd2981,Eyes4Lives,https://www.crunchbase.com/organization/eyes4lives,Venture - Series Unknown,2774000,USD,2774000,2017-07-21
Private Equity Round - Escape Technology,https://www.crunchbase.com/funding_round/escape-technology-private-equity--c65706eb,Escape Technology,https://www.crunchbase.com/organization/escape-technology,Private Equity,,,,2017-07-21
Series A - Hinge Health,https://www.crunchbase.com/funding_round/hinge-health-series-a--d66ad2fe,Hinge Health,https://www.crunchbase.com/organization/hinge-health,Series A,8300000,USD,8300000,2017-07-24
Series C - Effector Therapeutics,https://www.crunchbase.com/funding_round/effector-therapeutics-series-c--ff178f54,Effector Therapeutics,https://www.crunchbase.com/organization/effector-therapeutics,Series C,38600000,USD,38600000,2017-07-24
Venture Round - Ukko,https://www.crunchbase.com/funding_round/ukko-series-unknown--22348b1b,Ukko,https://www.crunchbase.com/organization/ukko,Venture - Series Unknown,7699997,USD,7699997,2017-07-24
Seed Round - CrowdForce,https://www.crunchbase.com/funding_round/mobile-forms-seed--3ad11e33,CrowdForce,https://www.crunchbase.com/organization/mobile-forms,Seed,150000,USD,150000,2017-07-24
Debt Financing - Dividend Finance,https://www.crunchbase.com/funding_round/dividend-solar-debt-financing--ac711b74,Dividend Finance,https://www.crunchbase.com/organization/dividend-solar,Debt Financing,100000000,USD,100000000,2017-07-25
Series B - Okami Medical,https://www.crunchbase.com/funding_round/okami-medical-series-b--47efa468,Okami Medical,https://www.crunchbase.com/organization/okami-medical,Series B,4500000,USD,4500000,2017-07-25
Series A - Node,https://www.crunchbase.com/funding_round/node-series-a--19550363,Node,https://www.crunchbase.com/organization/node,Series A,10800000,USD,10800000,2017-07-25
Seed Round - Tueo Health,https://www.crunchbase.com/funding_round/tueo-health-seed--8e98c19a,Tueo Health,https://www.crunchbase.com/organization/tueo-health,Seed,1100000,USD,1100000,2017-07-25
Series B - Inceptus Medical,https://www.crunchbase.com/funding_round/inceptus-medical-series-b--0d67fdbf,Inceptus Medical,https://www.crunchbase.com/organization/inceptus-medical,Series B,4500000,USD,4500000,2017-07-25
Series B - Amphivena Therapeutics,https://www.crunchbase.com/funding_round/amphivena-therapeutics-series-b--2de6a8b1,Amphivena Therapeutics,https://www.crunchbase.com/organization/amphivena-therapeutics,Series B,7000000,USD,7000000,2017-07-26
Private Equity Round - Allworth Financial,https://www.crunchbase.com/funding_round/hanson-mcclain-private-equity--e3150ddf,Allworth Financial,https://www.crunchbase.com/organization/hanson-mcclain,Private Equity,,,,2017-07-26
Series B - Cibus,https://www.crunchbase.com/funding_round/cibus-series-b--b47b7149,Cibus,https://www.crunchbase.com/organization/cibus,Series B,57000000,USD,57000000,2017-07-27
Seed Round - NetObjex,https://www.crunchbase.com/funding_round/netobjex-seed--d4df6596,NetObjex,https://www.crunchbase.com/organization/netobjex,Seed,250000,USD,250000,2017-07-27
Venture Round - Big Switch Networks,https://www.crunchbase.com/funding_round/big-switch-networks-series-unknown--2c7bcd1b,Big Switch Networks,https://www.crunchbase.com/organization/big-switch-networks,Venture - Series Unknown,30700000,USD,30700000,2017-07-27
Grant - iSono Health,https://www.crunchbase.com/funding_round/isono-health-grant--16a1c313,iSono Health,https://www.crunchbase.com/organization/isono-health,Grant,250000,USD,250000,2017-07-28
Seed Round - SPIDR Tech,https://www.crunchbase.com/funding_round/spidr-2-seed--950c05db,SPIDR Tech,https://www.crunchbase.com/organization/spidr-2,Seed,,,,2017-07-28
Series B - BioFluidica,https://www.crunchbase.com/funding_round/biofluidica-series-b--e3fd4011,BioFluidica,https://www.crunchbase.com/organization/biofluidica,Series B,4135000,USD,4135000,2017-07-28
Post-IPO Equity - InterMetro Communications,https://www.crunchbase.com/funding_round/intermetro-communications-post-ipo-equity--48862e1c,InterMetro Communications,https://www.crunchbase.com/organization/intermetro-communications,Post-IPO Equity,2056726,USD,2056726,2017-07-28
Venture Round - Avicena,https://www.crunchbase.com/funding_round/avicena-series-unknown--6ac90404,Avicena,https://www.crunchbase.com/organization/avicena,Venture - Series Unknown,573000,USD,573000,2017-07-28
Series B - Shape Memory Therapeutics,https://www.crunchbase.com/funding_round/shape-memory-series-b--25bae45c,Shape Memory Therapeutics,https://www.crunchbase.com/organization/shape-memory,Series B,7000001,USD,7000001,2017-07-28
Equity Crowdfunding - N-Gen Technologies Inc.,https://www.crunchbase.com/funding_round/n-gen-technologies-inc-equity-crowdfunding--cb4334fc,N-Gen Technologies Inc.,https://www.crunchbase.com/organization/n-gen-technologies-inc,Equity Crowdfunding,,,,2017-07-28
"Non Equity Assistance - MemComputing, Inc.",https://www.crunchbase.com/funding_round/memcomputing-inc-non-equity-assistance--24a89373,"MemComputing, Inc.",https://www.crunchbase.com/organization/memcomputing-inc,Non-equity Assistance,,,,2017-07-31
Venture Round - UpHonest Capital,https://www.crunchbase.com/funding_round/uphonest-capital-series-unknown--07162875,UpHonest Capital,https://www.crunchbase.com/organization/uphonest-capital,Venture - Series Unknown,30000000,USD,30000000,2017-07-31
Debt Financing - SaleStream,https://www.crunchbase.com/funding_round/salestream-debt-financing--85543db8,SaleStream,https://www.crunchbase.com/organization/salestream,Debt Financing,500000,USD,500000,2017-07-31
Series A - Lattice,https://www.crunchbase.com/funding_round/lattice-2-series-a--b9a4f624,Lattice,https://www.crunchbase.com/organization/lattice-2,Series A,6400000,USD,6400000,2017-07-31
Series A - HintMD,https://www.crunchbase.com/funding_round/hintmd-series-a--9b47dd9a,HintMD,https://www.crunchbase.com/organization/hintmd,Series A,4000000,USD,4000000,2017-07-31
Angel Round - Water Pigeon Inc,https://www.crunchbase.com/funding_round/water-pigeon-inc-angel--c35f7bc5,Water Pigeon Inc,https://www.crunchbase.com/organization/water-pigeon-inc,Angel,830000,USD,830000,2017-07-31
Seed Round - Foxsy,https://www.crunchbase.com/funding_round/foxsy-seed--5a0bb870,Foxsy,https://www.crunchbase.com/organization/foxsy,Seed,,,,2017-07-31
Seed Round - Marax AI,https://www.crunchbase.com/funding_round/marax-ai-seed--de4ed493,Marax AI,https://www.crunchbase.com/organization/marax-ai,Seed,,,,2017-07-31
Private Equity Round - ETC Global Group,https://www.crunchbase.com/funding_round/etc-global-group-private-equity--581ed389,ETC Global Group,https://www.crunchbase.com/organization/etc-global-group,Private Equity,,,,2017-07-31
Seed Round - Xpresso,https://www.crunchbase.com/funding_round/xpresso-2-seed--07e79a79,Xpresso,https://www.crunchbase.com/organization/xpresso-2,Seed,,,,2017-07-31
Venture Round - Tula Technology,https://www.crunchbase.com/funding_round/tula-technology-series-unknown--aa78cf3e,Tula Technology,https://www.crunchbase.com/organization/tula-technology,Venture - Series Unknown,,,,2017-08-01
Pre Seed Round - Pablito,https://www.crunchbase.com/funding_round/pablito-pre-seed--dce545ec,Pablito,https://www.crunchbase.com/organization/pablito,Pre-Seed,100000,USD,100000,2017-08-01
Series A - UnifyID,https://www.crunchbase.com/funding_round/unifyid-series-a--9b3b0871,UnifyID,https://www.crunchbase.com/organization/unifyid,Series A,20000000,USD,20000000,2017-08-01
Series B - Eaze,https://www.crunchbase.com/funding_round/eaze-2-series-b--c063fb99,Eaze,https://www.crunchbase.com/organization/eaze-2,Series B,,,,2017-08-01
"Seed Round - FitChirp - A positive, educational, collaborative health & fitness sharing community.",https://www.crunchbase.com/funding_round/fitchirp-a-positive-educational-collaborative-health-fitness-sharing-community-seed--89ddebb4,"FitChirp - A positive, educational, collaborative health & fitness sharing community.",https://www.crunchbase.com/organization/fitchirp-a-positive-educational-collaborative-health-fitness-sharing-community,Seed,,,,2017-08-01
Seed Round - Level Therapy,https://www.crunchbase.com/funding_round/level-therapy-seed--0cd060ec,Level Therapy,https://www.crunchbase.com/organization/level-therapy,Seed,,,,2017-08-01
Series A - Ritual,https://www.crunchbase.com/funding_round/ritual-2-series-a--e0659123,Ritual,https://www.crunchbase.com/organization/ritual-2,Series A,10500000,USD,10500000,2017-08-01
Venture Round - Hycor Biomedical LLC,https://www.crunchbase.com/funding_round/hycor-biomedical-llc-series-unknown--f0832cbc,Hycor Biomedical LLC,https://www.crunchbase.com/organization/hycor-biomedical-llc,Venture - Series Unknown,15071237,USD,15071237,2017-08-01
Seed Round - Xpansiv,https://www.crunchbase.com/funding_round/xpansiv-seed--ce493773,Xpansiv,https://www.crunchbase.com/organization/xpansiv,Seed,3041000,USD,3041000,2017-08-01
Series E - Personal Capital,https://www.crunchbase.com/funding_round/personal-capital-series-e--40cf5f18,Personal Capital,https://www.crunchbase.com/organization/personal-capital,Series E,40000000,USD,40000000,2017-08-01
